[s],CH2[V]
-4.1288E-02,3.4067112109E-02
-4.1283E-02,3.5232063408E-02
-4.1278E-02,3.6642166220E-02
-4.1273E-02,3.4986663938E-02
-4.1267E-02,3.6568666542E-02
-4.1262E-02,4.3078876434E-02
-4.1257E-02,4.3595863269E-02
-4.1252E-02,4.1527162525E-02
-4.1247E-02,3.9773612989E-02
-4.1242E-02,4.5985809200E-02
-4.1237E-02,4.8508201416E-02
-4.1232E-02,4.5581823232E-02
-4.1226E-02,5.2549520220E-02
-4.1221E-02,4.5862327452E-02
-4.1216E-02,4.6402545793E-02
-4.1211E-02,4.7133298722E-02
-4.1206E-02,4.9438253199E-02
-4.1201E-02,4.5912681455E-02
-4.1196E-02,5.2342706412E-02
-4.1191E-02,4.1603733034E-02
-4.1185E-02,4.0823408116E-02
-4.1180E-02,4.1327596642E-02
-4.1175E-02,4.0479398724E-02
-4.1170E-02,3.9848381053E-02
-4.1165E-02,4.1457820867E-02
-4.1160E-02,3.3950048589E-02
-4.1155E-02,3.6328998655E-02
-4.1150E-02,3.7373739309E-02
-4.1145E-02,3.5459276308E-02
-4.1139E-02,4.2352682069E-02
-4.1134E-02,3.2814861466E-02
-4.1129E-02,3.0252815472E-02
-4.1124E-02,3.1587606626E-02
-4.1119E-02,3.3112913293E-02
-4.1114E-02,3.1508556563E-02
-4.1109E-02,3.1464296539E-02
-4.1104E-02,3.1971307942E-02
-4.1098E-02,3.3929000998E-02
-4.1093E-02,3.0400882943E-02
-4.1088E-02,2.9170662176E-02
-4.1083E-02,3.1255432332E-02
-4.1078E-02,2.9327656038E-02
-4.1073E-02,2.9110924018E-02
-4.1068E-02,2.9061151757E-02
-4.1063E-02,2.8263040812E-02
-4.1057E-02,3.0688902117E-02
-4.1052E-02,2.7816387456E-02
-4.1047E-02,2.9078642143E-02
-4.1042E-02,2.8941236751E-02
-4.1037E-02,3.0099798431E-02
-4.1032E-02,2.8225523266E-02
-4.1027E-02,2.8867851514E-02
-4.1022E-02,2.7327190690E-02
-4.1017E-02,2.9163519155E-02
-4.1011E-02,2.7035166084E-02
-4.1006E-02,2.6962467493E-02
-4.1001E-02,2.6559397052E-02
-4.0996E-02,2.7382026962E-02
-4.0991E-02,2.9413992172E-02
-4.0986E-02,2.7568565654E-02
-4.0981E-02,2.6184479076E-02
-4.0976E-02,2.5084244115E-02
-4.0970E-02,2.5422960615E-02
-4.0965E-02,2.6705881423E-02
-4.0960E-02,2.7828937810E-02
-4.0955E-02,2.7048736869E-02
-4.0950E-02,2.9005066171E-02
-4.0945E-02,2.6724458999E-02
-4.0940E-02,2.6743561095E-02
-4.0935E-02,2.5677954048E-02
-4.0929E-02,2.6268612222E-02
-4.0924E-02,2.7779041571E-02
-4.0919E-02,2.7937160769E-02
-4.0914E-02,2.7218462284E-02
-4.0909E-02,2.7242428119E-02
-4.0904E-02,2.5640760750E-02
-4.0899E-02,2.7239586169E-02
-4.0894E-02,2.6530815433E-02
-4.0889E-02,2.6029583297E-02
-4.0883E-02,2.7015653908E-02
-4.0878E-02,2.8608461642E-02
-4.0873E-02,2.7940965930E-02
-4.0868E-02,2.6382404639E-02
-4.0863E-02,2.6246744471E-02
-4.0858E-02,2.6893259349E-02
-4.0853E-02,2.5308138230E-02
-4.0848E-02,2.7637573526E-02
-4.0842E-02,2.6639896699E-02
-4.0837E-02,2.7712255760E-02
-4.0832E-02,2.8040844238E-02
-4.0827E-02,2.8249822887E-02
-4.0822E-02,2.6128441175E-02
-4.0817E-02,2.7443376829E-02
-4.0812E-02,2.6845184628E-02
